2025-05-01 12:30:46,897 - app - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:06,978 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,004 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,031 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,053 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,077 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,100 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,123 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,146 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:07,170 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,254 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,304 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,349 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,420 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,514 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,568 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,632 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,681 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,730 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:08,797 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:12,401 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:12,485 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:12,566 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:12,651 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:12,749 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
2025-05-01 19:12:12,827 - app.utils.jwt_callbacks - ERROR - Missing token: Missing JWT in headers or query_string (Missing Authorization Header; Missing 'jwt' query paramater)
